date,C_GR_RLC,company_code,company,ref_price,yesterday_price,open,last,close,low,high,qty_traded,num_trades,value,I
02/01/18,11,725001,ADWYA,5.35,5.35,5.25,5.39,5.39,5.25,5.39,2926,7,15635.5,
02/01/18,11,340005,AMEN BANK,24.35,24.35,24.38,24.0,24.0,24.0,24.38,1519,12,36918.0,
02/01/18,11,730001,ARTES,6.27,6.2,6.27,6.1,6.1,6.09,6.27,35875,67,219020.05,
02/01/18,11,714001,ASSAD,9.0,9.0,0.0,0.0,9.0,0.0,0.0,0,0,,
02/01/18,11,360035,ATB,4.22,4.22,4.15,4.18,4.18,4.15,4.18,3705,7,15465.9,
02/01/18,11,774001,ATELIER MEUBLE INT,2.48,2.48,2.42,2.49,2.49,2.42,2.49,195,3,472.25,
02/01/18,11,470010,ATL,3.17,3.09,3.17,3.09,3.09,3.09,3.17,602,2,1860.34,
02/01/18,11,160015,ATTIJARI BANK,36.0,36.4,36.0,36.6,36.6,35.8,36.6,11307,56,405585.49,
02/01/18,11,661001,ATTIJARI LEASING,17.72,17.72,17.93,17.88,17.88,17.88,17.93,202,4,3617.06,
02/01/18,11,190060,BH,18.0,18.5,18.0,18.48,18.48,17.8,18.48,7108,42,127604.9,
02/01/18,11,180045,BIAT,120.0,122.0,120.0,118.1,118.1,118.0,120.0,2897,39,342446.0,
02/01/18,11,310060,BNA,11.96,11.7,11.96,11.61,11.61,11.61,11.96,13572,24,160551.85,
02/01/18,11,220005,BT,8.05,8.1,8.05,7.81,7.81,7.81,8.05,64695,70,507662.25,
02/01/18,11,759001,CELLCOM,1.89,1.89,1.89,1.89,1.89,1.89,1.89,160,2,302.4,
02/01/18,11,420085,CIL,16.35,16.35,16.35,16.48,16.84,16.35,16.48,844,6,13852.96,+
02/01/18,11,755001,CITY CARS,10.6,10.6,10.6,10.75,10.75,10.6,10.75,7679,14,81442.4,
02/01/18,11,767001,DELICE HOLDING,16.5,16.5,16.11,16.5,16.5,16.01,16.5,6591,9,105611.16,
02/01/18,11,665001,ELECTROSTAR,2.58,2.65,2.58,2.65,2.65,2.58,2.65,487,14,1283.55,+
02/01/18,11,741001,ENNAKL AUTOMOBILES,12.45,12.45,12.6,12.4,12.4,12.35,12.6,3340,15,41425.6,
02/01/18,11,721001,ESSOUKNA,3.69,3.69,3.69,3.69,3.69,3.69,3.69,1500,4,5535.0,
02/01/18,11,757001,EURO-CYCLES,27.0,27.0,26.51,26.5,26.5,26.2,26.89,6586,52,174610.36,
02/01/18,11,713001,GIF-FILTER,1.44,1.44,1.46,1.48,1.48,1.42,1.48,4894,20,7039.95,
02/01/18,11,731013,HANNIBAL LEASE,8.3,8.3,8.06,8.06,8.06,8.06,8.06,1,1,8.06,
02/01/18,11,644001,MAGASIN GENERAL,39.5,39.5,38.6,38.6,38.6,38.6,38.6,50,1,1930.0,
02/01/18,11,100010,MONOPRIX,11.39,11.4,11.39,11.6,11.6,11.39,11.6,1980,10,22766.6,
02/01/18,11,762001,MPBS,3.15,3.06,3.15,3.12,3.12,3.06,3.15,2717,6,8420.55,
02/01/18,11,753001,ONE TECH HOLDING,13.36,13.34,13.36,13.2,13.2,13.2,13.38,3707,24,48994.04,
02/01/18,11,570001,POULINA GP HOLDING,10.3,10.3,10.6,10.91,10.91,10.6,10.91,1236,15,13210.82,
02/01/18,11,761001,SAH,15.8,15.95,15.8,15.51,15.51,15.35,15.8,10090,42,156553.13,
02/01/18,11,110025,SFBT,19.8,19.8,19.8,19.4,19.4,19.22,19.8,27029,132,523805.54,
02/01/18,11,659001,SIAME,2.44,2.41,2.44,2.37,2.37,2.37,2.44,9516,10,22599.58,-
02/01/18,11,400005,SIMPAR,42.8,42.8,42.8,42.8,42.8,42.8,42.8,200,2,8560.0,
02/01/18,11,718001,SITS,2.38,2.38,2.35,2.35,2.35,2.35,2.35,5000,4,11750.0,
02/01/18,11,678001,SOMOCER,1.13,1.11,1.13,1.16,1.16,1.11,1.16,23630,80,26979.44,
02/01/18,11,729001,SOPAT,0.74,0.74,0.74,0.74,0.74,0.74,0.74,1050,7,777.0,
02/01/18,11,653001,SOTETEL,2.74,2.74,2.66,2.81,2.81,2.66,2.81,5315,14,14825.47,
02/01/18,11,763001,SOTIPAPIER,3.48,3.48,3.48,3.52,3.52,3.48,3.52,2656,15,9283.25,
02/01/18,11,666001,SOTRAPIL,10.55,10.55,10.54,10.7,10.7,10.5,10.7,3252,20,34354.69,
02/01/18,11,658001,SOTUMAG,1.98,1.95,1.98,1.93,1.93,1.93,1.98,6790,21,13247.26,
02/01/18,11,656001,SOTUVER,5.14,5.18,5.14,4.94,4.94,4.94,5.14,14301,29,71399.2,
02/01/18,11,606001,STAR,100.0,100.0,97.4,98.0,98.0,97.4,98.0,410,6,40174.0,
02/01/18,11,260095,STB,3.59,3.59,3.69,3.69,3.69,3.69,3.69,21,1,77.49,
02/01/18,11,744001,TELNET HOLDING,5.99,5.95,5.99,5.86,5.86,5.83,5.99,2502,11,14828.37,
02/01/18,11,727001,TPR,3.7,3.7,3.54,3.48,3.48,3.48,3.68,29264,78,103269.43,-
02/01/18,11,738001,TUNIS RE,8.4,8.38,8.4,8.4,8.4,8.25,8.4,8718,40,73110.64,
02/01/18,11,120040,TUNISAIR,0.44,0.43,0.44,0.43,0.43,0.42,0.44,8001,18,3441.43,
02/01/18,11,769001,UADH,2.45,2.46,2.45,2.45,2.45,2.45,2.45,636,5,1558.2,
02/01/18,11,390010,UIB,22.59,22.59,22.59,22.01,22.01,22.01,22.59,4173,19,92334.27,
02/01/18,11,772001,UNIMED,7.85,7.85,0.0,0.0,7.85,0.0,0.0,0,0,,
02/01/18,11,720001,WIFACK INT BANK,7.5,7.33,7.5,7.43,7.43,7.33,7.5,1251,10,9334.1,
02/01/18,12,230035,AIR LIQUDE TSIE,89.0,89.0,0.0,0.0,89.0,0.0,0.0,0,0,,
02/01/18,12,380070,ALKIMIA,46.35,46.35,0.0,0.0,46.35,0.0,0.0,0,0,,
02/01/18,12,655001,ASSURANCES SALIM,33.5,33.5,0.0,0.0,33.5,0.0,0.0,0,0,,
02/01/18,12,300045,ASTREE,34.0,34.0,0.0,0.0,34.0,0.0,0.0,0,0,,
02/01/18,12,758001,BEST LEASE,1.9,1.9,0.0,0.0,1.9,0.0,0.0,0,0,,
02/01/18,12,130055,BTE (ADP),17.24,17.24,17.24,17.21,17.21,17.21,17.24,502,2,8648.54,
02/01/18,12,735001,CIMENTS DE BIZERTE,2.49,2.49,2.49,2.5,2.5,2.49,2.5,790,4,1967.6,
02/01/18,12,330090,ELBENE INDUSTRIE,3.58,3.58,0.0,0.0,3.58,0.0,0.0,0,0,,
02/01/18,12,320075,ICF,28.13,28.13,0.0,0.0,28.13,0.0,0.0,0,0,,
02/01/18,12,672004,MODERN LEASING,3.86,3.86,0.0,0.0,3.86,0.0,0.0,0,0,,
02/01/18,12,250065,PLAC. TSIE-SICAF,40.71,40.71,0.0,0.0,40.71,0.0,0.0,0,0,,
02/01/18,12,667001,SIPHAT,5.3,5.3,0.0,0.0,5.3,0.0,0.0,0,0,,
02/01/18,12,140070,SPDIT - SICAF,8.2,8.2,0.0,0.0,8.2,0.0,0.0,0,0,,
02/01/18,12,664001,STEQ,7.62,7.62,0.0,0.0,7.62,0.0,0.0,0,0,,
02/01/18,12,410020,TUNINVEST-SICAR,6.5,6.5,0.0,0.0,6.5,0.0,0.0,0,0,,
02/01/18,12,240050,UBCI,24.81,24.81,0.0,0.0,24.81,0.0,0.0,0,0,,
02/01/18,13,768001,ASS MULTI ITTIHAD,8.5,8.69,8.5,8.42,8.25,8.42,8.5,2023,19,17071.66,-
02/01/18,13,430030,SITEX,6.25,6.25,0.0,0.0,6.25,0.0,0.0,0,0,,
02/01/18,13,617001,STE TUN. DU SUCRE,7.1,7.1,0.0,0.0,7.1,0.0,0.0,0,0,,
02/01/18,33,768004,AMI DA 1/4 110817,2.17,1.87,0.0,0.0,2.17,0.0,0.0,0,0,,
02/01/18,51,150085,AMS,1.16,1.16,1.13,1.18,1.18,1.13,1.18,2987,9,3405.32,
02/01/18,51,740001,CARTHAGE CEMENT,2.34,2.32,2.34,2.33,2.33,2.33,2.37,22509,56,52714.65,
02/01/18,51,764001,CEREALIS,4.11,4.11,4.05,4.05,4.05,4.05,4.05,10000,14,40500.0,
02/01/18,51,749001,HEXABYTE,5.29,5.29,5.28,5.28,5.28,5.28,5.28,286,3,1510.08,
02/01/18,51,751001,LAND OR,7.5,7.45,7.5,7.5,7.5,7.5,7.5,8,2,60.0,
02/01/18,51,754001,NEW BODY LINE,4.97,4.99,4.97,4.95,4.95,4.83,4.97,1562,10,7739.56,
02/01/18,51,770001,OFFICEPLAST,3.34,3.34,3.31,3.2,3.2,3.2,3.44,7632,29,24808.93,
02/01/18,51,734001,SERVICOM,1.59,1.61,1.59,1.55,1.52,1.55,1.59,3310,8,5190.5,-
02/01/18,51,765001,TAWASOL GP HOLDING,0.37,0.37,0.36,0.38,0.38,0.36,0.38,37753,45,13865.56,
02/01/18,52,750001,AETECH,0.49,0.49,0.0,0.0,0.51,0.0,0.0,0,0,,+
02/01/18,52,766001,MAGHREB INTERN PUB,0.96,0.96,0.0,0.0,0.96,0.0,0.0,0,0,,
02/01/18,52,773001,SANIMED,4.28,4.28,0.0,0.0,4.28,0.0,0.0,0,0,,
02/01/18,52,760001,SOTEMAIL,2.49,2.49,0.0,0.0,2.49,0.0,0.0,0,0,,
02/01/18,99,503001,STIP,1.06,1.06,0.0,0.0,1.06,0.0,0.0,0,0,,
03/01/18,11,725001,ADWYA,5.39,5.39,5.38,5.35,5.35,5.35,5.39,2395,24,12872.65,
03/01/18,11,340005,AMEN BANK,23.99,24.0,23.99,23.99,23.99,23.7,24.0,530,10,12690.82,
03/01/18,11,730001,ARTES,6.1,6.1,6.1,6.25,6.25,6.1,6.26,8509,22,52504.33,
03/01/18,11,714001,ASSAD,8.83,9.0,8.83,8.99,8.99,8.83,8.99,627,9,5537.82,
03/01/18,11,360035,ATB,4.15,4.18,4.15,4.15,4.15,4.15,4.15,543,4,2253.45,
03/01/18,11,774001,ATELIER MEUBLE INT,2.49,2.49,0.0,0.0,2.49,0.0,0.0,0,0,,
03/01/18,11,470010,ATL,3.09,3.09,3.09,3.09,3.09,3.09,3.1,1458,6,4511.02,
03/01/18,11,160015,ATTIJARI BANK,36.0,36.6,36.0,36.15,36.15,36.0,36.15,6766,38,243670.93,
03/01/18,11,661001,ATTIJARI LEASING,17.88,17.88,17.71,17.71,17.71,17.71,17.71,216,3,3825.36,
03/01/18,11,190060,BH,18.48,18.48,18.45,18.43,18.43,18.43,18.45,681,6,12556.75,
03/01/18,11,180045,BIAT,118.0,118.1,118.0,120.0,120.0,117.4,120.0,965,17,113869.4,
03/01/18,11,310060,BNA,11.61,11.61,11.79,11.7,11.7,11.51,11.79,901,13,10416.92,
03/01/18,11,220005,BT,7.82,7.81,7.82,7.82,7.82,7.8,7.82,17104,25,133683.1,
